Element Number	Equivalent (von-Mises) Stress (psi)
1116	2.576
1117	2.3224
1118	2.8849
1119	2.2767
1120	1.9815
1121	2.8557
1122	3.0437
1123	3.0721
1124	2.8916
1125	2.8817
1126	3.2767
1127	2.6097
1128	3.3734
1129	2.2385
1130	3.6729
1131	3.1442
1132	3.0925
1133	2.768
1134	3.4447
1135	2.3667
1136	2.5341
1137	3.6347
1138	3.3296
1139	2.9174
1140	2.9201
1141	3.7605
1142	3.7484
1143	3.9657
1144	2.6341
1145	2.568
1146	2.5942
1147	3.6882
1148	3.7289
1149	2.6658
1150	2.7247
1151	2.2993
1152	2.2039
1153	1.6797
1154	1.8106
1155	1.8674
1156	2.0012
1157	2.3238
1158	2.5518
1159	2.4944
1160	2.0088
1161	2.1297
1162	1.6687
1163	2.0518
1164	1.8314
1165	2.4141
1166	2.3532
1167	2.4707
1168	1.9057
1169	1.6907
1170	2.0732
1171	2.19
1172	1.8084
1173	1.9017
1174	1.7848
1175	1.6682
1176	1.7505
1177	1.8631
1178	1.8774
1179	1.6243
1180	1.4033
1181	1.5859
1182	1.1457
1183	1.5591
1184	1.2536
1185	1.427
1186	1.7069
1187	1.6561
1188	1.6654
1189	1.5431
1190	1.659
1191	1.3016
1192	1.5251
1193	1.2049
1194	1.1252
1195	1.413
1196	1.4179
1197	1.5913
1198	6.3584
1199	6.5073
1200	6.1324
1201	6.9962
1202	4.395
1203	4.5464
1204	6.3544
1205	5.6137
1206	5.7983
1207	5.8379
1208	5.0022
1209	5.0671
1210	7.0519
1211	4.4049
1212	3.9332
1213	4.3423
1214	0.59123
1215	0.47306
1216	0.49797
1217	0.51393
1218	0.37623
1219	0.39679
1220	0.51704
1221	0.46471
1222	0.6271
1223	0.66632
1224	0.59552
1225	3.4496
1226	3.4896
1227	3.7361
1228	3.6832
1229	3.6262
1230	3.3714
1231	4.0347
1232	4.4612
1233	4.7069
1234	1.1181
1235	1.014
1236	1.1448
1237	1.1309
1238	1.0418
1239	0.86009
1240	0.95918
1241	0.90853
1242	0.9787
1243	0.87119
1244	0.83915
1245	0.87297
1246	0.80588
1247	0.75671
1248	0.79716
1249	0.82144
1250	0.78784
1251	0.75541
1252	0.79928
1253	0.79945
1254	1.2402
1255	1.4056
1256	1.182
1257	1.363
1258	1.3876
1259	1.5017
1260	1.2442
1261	1.1919
1262	1.4836
1263	1.591
1264	1.5236
1265	1.5744
1266	1.7557
1267	1.7446
1268	1.5742
1269	1.6032
1270	1.2513
1271	1.3498
1272	1.5553
1273	1.7482
1274	1.5887
1275	0.95836
1276	1.5234
1277	1.535
1278	1.2473
1279	1.3114
1280	1.2196
1281	1.5942
1282	0.75319
1283	1.0554
1284	0.8344
1285	1.0228
1286	1.0319
1287	1.0547
1288	1.027
1289	1.3064
1290	1.6842
1291	1.6625
1292	1.7674
1293	1.7883
1294	1.7681
1295	1.7389
1296	1.8086
1297	2.0862
1298	1.7115
1299	1.8819
1300	1.7484
1301	1.767
1302	2.1509
1303	5.8199
1304	4.7702
1305	4.9663
1306	6.842
1307	5.6236
1308	4.2434
1309	7.16
1310	2.7258
1311	2.7396
1312	2.831
1313	2.7222
1314	2.6517
1315	2.7478
1316	2.9358
1317	2.8128
1318	2.5406
1319	2.5739
1320	2.6637
1321	2.7575
1322	8.4123
1323	9.0081
1324	8.4944
1325	8.9764
1326	8.2411
1327	8.5031
1328	9.1613
1329	8.4109
1330	9.0663
1331	9.5419
1332	1.5596
1333	1.6353
1334	1.7246
1335	2.093
1336	1.8965
1337	2.1027
1338	1.8832
1339	3.2981
1340	2.7857
1341	3.14
1342	4.2513
1343	2.9542
1344	2.6974
1345	2.1835
1346	2.6396
1347	2.9879
1348	4.5618
1349	10.293
1350	9.2471
1351	10.953
1352	9.382
1353	11.023
1354	9.082
1355	8.4913
1356	12.583
1357	10.92
1358	10.294
1359	9.6754
1360	8.995
1361	10.532
1362	7.0295
1363	6.8
1364	6.7809
1365	7.0289
1366	5.0646
