Node Number	X Location (in)	Y Location (in)	Z Location (in)	
245	-1.0921	0.13188	0.7	
246	-1.0969	8.2394e-002	0.7	
247	-1.0995	3.2743e-002	0.7	
248	-1.0999	-1.6974e-002	0.7	
249	-1.098	-6.6657e-002	0.7	
250	-1.0938	-0.1162	0.7	
251	-1.0875	-0.16551	0.7	
252	-1.0789	-0.21448	0.7	
253	-1.0681	-0.26302	0.7	
254	-1.0551	-0.31101	0.7	
255	-1.04	-0.35837	0.7	
256	-1.0227	-0.405	0.7	
257	-1.0034	-0.4508	0.7	
258	-0.98199	-0.49568	0.7	
259	-0.95859	-0.53955	0.7	
260	-0.93323	-0.58231	0.7	
261	-0.90596	-0.62389	0.7	
262	-0.87684	-0.66419	0.7	
263	-0.84593	-0.70313	0.7	
264	-0.8133	-0.74064	0.7	
265	-0.779	-0.77663	0.7	
266	-0.74311	-0.81104	0.7	
267	-0.7057	-0.84379	0.7	
268	-0.66685	-0.87482	0.7	
269	-0.62664	-0.90406	0.7	
270	-0.58515	-0.93145	0.7	
271	-0.54246	-0.95694	0.7	
272	-0.49866	-0.98048	0.7	
273	-0.45385	-1.002	0.7	
274	-0.40811	-1.0215	0.7	
275	-0.36153	-1.0389	0.7	
276	-0.375	4.5924e-017	0.725	
277	-0.37179	4.8947e-002	0.725	
278	-0.36222	9.7057e-002	0.725	
279	-0.34645	0.14351	0.725	
280	-0.32476	0.1875	0.725	
281	-0.29751	0.22829	0.725	
282	-0.26517	0.26517	0.725	
283	-0.22829	0.29751	0.725	
284	-0.1875	0.32476	0.725	
285	-0.14351	0.34645	0.725	
286	-9.7057e-002	0.36222	0.725	
287	-4.8947e-002	0.37179	0.725	
288	4.393e-016	0.375	0.725	
289	4.8947e-002	0.37179	0.725	
290	9.7057e-002	0.36222	0.725	
291	0.14351	0.34645	0.725	
292	0.1875	0.32476	0.725	
293	0.22829	0.29751	0.725	
294	0.26517	0.26517	0.725	
295	0.29751	0.22829	0.725	
296	0.32476	0.1875	0.725	
297	0.34645	0.14351	0.725	
298	0.36222	9.7057e-002	0.725	
299	0.37179	4.8947e-002	0.725	
300	0.375	-5.8052e-016	0.725	
301	0.37179	-4.8947e-002	0.725	
302	0.36222	-9.7057e-002	0.725	
303	0.34645	-0.14351	0.725	
304	0.32476	-0.1875	0.725	
305	0.29751	-0.22829	0.725	
306	0.26517	-0.26517	0.725	
307	0.22829	-0.29751	0.725	
308	0.1875	-0.32476	0.725	
309	0.14351	-0.34645	0.725	
310	9.7057e-002	-0.36222	0.725	
311	4.8947e-002	-0.37179	0.725	
312	-6.4317e-016	-0.375	0.725	
313	-4.8947e-002	-0.37179	0.725	
314	-9.7057e-002	-0.36222	0.725	
315	-0.14351	-0.34645	0.725	
316	-0.1875	-0.32476	0.725	
317	-0.22829	-0.29751	0.725	
318	-0.26517	-0.26517	0.725	
319	-0.29751	-0.22829	0.725	
320	-0.32476	-0.1875	0.725	
321	-0.34645	-0.14351	0.725	
322	-0.36222	-9.7057e-002	0.725	
323	-0.37179	-4.8947e-002	0.725	
324	1.15	0.9	0.7	
325	1.15	-0.9	0.7	
326	1.15	0.85	0.7	
327	1.15	0.8	0.7	
328	1.15	0.75	0.7	
329	1.15	0.7	0.7	
330	1.15	0.65	0.7	
331	1.15	0.6	0.7	
332	1.15	0.55	0.7	
333	1.15	0.5	0.7	
334	1.15	0.45	0.7	
335	1.15	0.4	0.7	
336	1.15	0.35	0.7	
337	1.15	0.3	0.7	
338	1.15	0.25	0.7	
339	1.15	0.2	0.7	
340	1.15	0.15	0.7	
341	1.15	0.1	0.7	
342	1.15	5.e-002	0.7	
343	1.15	1.1952e-016	0.7	
344	1.15	-5.e-002	0.7	
345	1.15	-1.e-001	0.7	
346	1.15	-0.15	0.7	
347	1.15	-0.2	0.7	
348	1.15	-0.25	0.7	
349	1.15	-0.3	0.7	
350	1.15	-0.35	0.7	
351	1.15	-0.4	0.7	
352	1.15	-0.45	0.7	
353	1.15	-0.5	0.7	
354	1.15	-0.55	0.7	
355	1.15	-0.6	0.7	
356	1.15	-0.65	0.7	
357	1.15	-0.7	0.7	
358	1.15	-0.75	0.7	
359	1.15	-0.8	0.7	
360	1.15	-0.85	0.7	
361	0.9	-1.15	0.7	
362	0.94877	-1.1452	0.7	
363	0.99567	-1.131	0.7	
364	1.0389	-1.1079	0.7	
365	1.0768	-1.0768	0.7	
366	1.1079	-1.0389	0.7	
367	1.131	-0.99567	0.7	
368	1.1452	-0.94877	0.7	
369	-0.9	-1.15	0.7	
370	-0.85	-1.15	0.7	
371	-0.8	-1.15	0.7	
372	-0.75	-1.15	0.7	
373	-0.7	-1.15	0.7	
374	-0.65	-1.15	0.7	
375	-0.6	-1.15	0.7	
376	-0.55	-1.15	0.7	
377	-0.5	-1.15	0.7	
378	-0.45	-1.15	0.7	
379	-0.4	-1.15	0.7	
380	-0.35	-1.15	0.7	
381	-0.3	-1.15	0.7	
382	-0.25	-1.15	0.7	
383	-0.2	-1.15	0.7	
384	-0.15	-1.15	0.7	
385	-0.1	-1.15	0.7	
386	-5.e-002	-1.15	0.7	
387	-1.3659e-016	-1.15	0.7	
388	5.e-002	-1.15	0.7	
389	1.e-001	-1.15	0.7	
390	0.15	-1.15	0.7	
391	0.2	-1.15	0.7	
392	0.25	-1.15	0.7	
393	0.3	-1.15	0.7	
394	0.35	-1.15	0.7	
395	0.4	-1.15	0.7	
396	0.45	-1.15	0.7	
397	0.5	-1.15	0.7	
398	0.55	-1.15	0.7	
399	0.6	-1.15	0.7	
400	0.65	-1.15	0.7	
401	0.7	-1.15	0.7	
402	0.75	-1.15	0.7	
403	0.8	-1.15	0.7	
404	0.85	-1.15	0.7	
405	-1.15	-0.9	0.7	
406	-0.94877	-1.1452	0.7	
407	-0.99567	-1.131	0.7	
408	-1.0389	-1.1079	0.7	
409	-1.0768	-1.0768	0.7	
410	-1.1079	-1.0389	0.7	
